Jour circulation,Depart theo SAT,Depart real SAT,Type,timestamps_secs,Distance,Vitesse,seg_number,reconstructed_times,reconstructed_times_str
15/07/2021,10:00:00,10:00:06,V,36006.0,4148220.0,0.0,0.0,36006.0,10:00:06
15/07/2021,10:00:00,10:00:06,V,,4148230.0,0.8333333333333333,0.0,36025.989,10:00:26
15/07/2021,10:00:00,10:00:06,V,,4148240.0,2.2222222222222223,0.0,36032.534,10:00:33
15/07/2021,10:00:00,10:00:06,V,,4148250.0,2.7777777777777777,0.0,36036.534,10:00:37
15/07/2021,10:00:00,10:00:06,V,,4148270.0,3.611111111111111,0.0,36042.795,10:00:43
15/07/2021,10:00:00,10:00:06,V,,4148280.0,4.166666666666667,0.0,36045.366,10:00:45
15/07/2021,10:00:00,10:00:06,V,36046.0,4148300.0,4.444444444444445,0.0,36046.0,10:00:46
15/07/2021,10:00:00,10:00:06,V,36058.0,4148350.0,4.444444444444445,0.0,36058.0,10:00:58
15/07/2021,10:00:00,10:00:06,V,36060.0,4148360.0,4.444444444444445,0.0,36060.0,10:01:00
15/07/2021,10:00:00,10:00:06,V,,4148380.0,5.0,0.0,36064.163,10:01:04
15/07/2021,10:00:00,10:00:06,V,,4148400.0,5.555555555555555,0.0,36067.952,10:01:08
15/07/2021,10:00:00,10:00:06,V,,4148440.0,6.388888888888888,0.0,36074.65,10:01:15
15/07/2021,10:00:00,10:00:06,V,,4148470.0,6.944444444444445,0.0,36079.15,10:01:19
15/07/2021,10:00:00,10:00:06,V,36086.0,4148520.0,7.5,0.0,36086.0,10:01:26
15/07/2021,10:00:00,10:00:06,V,36088.0,4148530.0,7.5,0.0,36088.0,10:01:28
15/07/2021,10:00:00,10:00:06,V,36110.0,4148680.0,6.666666666666666,0.0,36110.0,10:01:50
15/07/2021,10:00:00,10:00:06,V,,4148720.0,6.111111111111111,0.0,36116.782,10:01:57
15/07/2021,10:00:00,10:00:06,V,36124.0,4148760.0,5.833333333333333,0.0,36124.0,10:02:04
15/07/2021,10:00:00,10:00:06,V,,4148770.0,5.555555555555555,0.0,36124.978,10:02:05
15/07/2021,10:00:00,10:00:06,V,36126.0,4148780.0,5.555555555555555,0.0,36126.0,10:02:06
15/07/2021,10:00:00,10:00:06,V,36138.0,4148840.0,5.833333333333333,0.0,36138.0,10:02:18
15/07/2021,10:00:00,10:00:06,V,,4148900.0,6.388888888888888,0.0,36147.913,10:02:28
15/07/2021,10:00:00,10:00:06,V,,4148960.0,6.944444444444445,0.0,36156.913,10:02:37
15/07/2021,10:00:00,10:00:06,V,,4149060.0,7.777777777777778,0.0,36170.498,10:02:50
15/07/2021,10:00:00,10:00:06,V,,4149110.0,8.333333333333334,0.0,36176.705,10:02:57
15/07/2021,10:00:00,10:00:06,V,36178.0,4149120.0,8.333333333333334,0.0,36178.0,10:02:58
15/07/2021,10:00:00,10:00:06,V,36180.0,4149140.0,8.055555555555555,0.0,36180.0,10:03:00
15/07/2021,10:00:00,10:00:06,V,36200.0,4149300.0,8.055555555555555,0.0,36200.0,10:03:20
15/07/2021,10:00:00,10:00:06,V,36202.0,4149320.0,8.333333333333334,0.0,36202.0,10:03:22
15/07/2021,10:00:00,10:00:06,V,,4149340.0,9.166666666666666,0.0,36205.053,10:03:25
15/07/2021,10:00:00,10:00:06,V,,4149360.0,9.722222222222221,0.0,36207.17,10:03:27
15/07/2021,10:00:00,10:00:06,V,,4149380.0,10.555555555555555,0.0,36209.143,10:03:29
15/07/2021,10:00:00,10:00:06,V,,4149400.0,11.11111111111111,0.0,36210.989,10:03:31
15/07/2021,10:00:00,10:00:06,V,,4149430.0,11.944444444444445,0.0,36213.591,10:03:34
15/07/2021,10:00:00,10:00:06,V,,4149450.0,12.5,0.0,36215.228,10:03:35
15/07/2021,10:00:00,10:00:06,V,,4149520.0,13.88888888888889,0.0,36220.533,10:03:41
15/07/2021,10:00:00,10:00:06,V,,4149600.0,15.277777777777777,0.0,36226.019,10:03:46
15/07/2021,10:00:00,10:00:06,V,36230.0,4149650.0,15.833333333333332,0.0,36230.0,10:03:50
15/07/2021,10:00:00,10:00:06,V,,4149700.0,16.666666666666668,0.0,36232.485,10:03:52
