Jour circulation,Depart theo SAT,Depart real SAT,Type,timestamps_secs,Distance,Vitesse,reconstructed_times,reconstructed_times_str,seg_number
21/07/2021,09:57:00,09:57:10,V,,3772270.0,0.0,35832.687,9:57:13,
21/07/2021,09:57:00,09:57:10,V,,3772280.0,1.3888888888888888,35847.087,9:57:27,
21/07/2021,09:57:00,09:57:10,V,,3772290.0,2.2222222222222223,35852.625,9:57:33,
21/07/2021,09:57:00,09:57:10,V,,3772310.0,2.7777777777777777,35860.625,9:57:41,
21/07/2021,09:57:00,09:57:10,V,,3772320.0,3.611111111111111,35863.756,9:57:44,
21/07/2021,09:57:00,09:57:10,V,,3772330.0,4.166666666666667,35866.327,9:57:46,
21/07/2021,09:57:00,09:57:10,V,,3772340.0,5.0,35868.509,9:57:49,
21/07/2021,09:57:00,09:57:10,V,,3772360.0,5.555555555555555,35872.298,9:57:52,
21/07/2021,09:57:00,09:57:10,V,,3772380.0,6.388888888888888,35875.647,9:57:56,
21/07/2021,09:57:00,09:57:10,V,,3772420.0,6.944444444444445,35881.647,9:58:02,
21/07/2021,09:57:00,09:57:10,V,35924.0,3772720.0,7.222222222222222,35924.0,9:58:44,
21/07/2021,09:57:00,09:57:10,V,35924.0,3772720.0,7.222222222222222,35924.0,9:58:44,0.0
21/07/2021,09:57:00,09:57:10,V,,3772850.0,7.777777777777778,35940.576,9:59:01,0.0
21/07/2021,09:57:00,09:57:10,V,35966.0,3773050.0,7.5,35966.0,9:59:26,0.0
21/07/2021,09:57:00,09:57:10,V,35978.0,3773130.0,7.777777777777778,35978.0,9:59:38,0.0
21/07/2021,09:57:00,09:57:10,V,35988.0,3773210.0,7.777777777777778,35988.0,9:59:48,0.0
21/07/2021,09:57:00,09:57:10,V,35990.0,3773230.0,7.777777777777778,35990.0,9:59:50,0.0
21/07/2021,09:57:00,09:57:10,V,,3773260.0,8.333333333333334,35993.908,9:59:54,0.0
21/07/2021,09:57:00,09:57:10,V,,3773290.0,9.166666666666666,35997.337,9:59:57,0.0
21/07/2021,09:57:00,09:57:10,V,,3773310.0,9.722222222222221,35999.454,9:59:59,0.0
21/07/2021,09:57:00,09:57:10,V,,3773330.0,10.555555555555555,36001.427,10:00:01,0.0
21/07/2021,09:57:00,09:57:10,V,,3773350.0,11.11111111111111,36003.273,10:00:03,0.0
21/07/2021,09:57:00,09:57:10,V,,3773370.0,11.944444444444445,36005.008,10:00:05,0.0
21/07/2021,09:57:00,09:57:10,V,,3773380.0,12.5,36005.826,10:00:06,0.0
21/07/2021,09:57:00,09:57:10,V,,3773420.0,13.88888888888889,36008.858,10:00:09,0.0
21/07/2021,09:57:00,09:57:10,V,,3773450.0,15.277777777777777,36010.915,10:00:11,0.0
21/07/2021,09:57:00,09:57:10,V,,3773500.0,16.666666666666668,36014.045,10:00:14,0.0
21/07/2021,09:57:00,09:57:10,V,36016.0,3773530.0,17.22222222222222,36016.0,10:00:16,0.0
21/07/2021,09:57:00,09:57:10,V,,3773560.0,18.055555555555554,36018.409,10:00:18,0.0
21/07/2021,09:57:00,09:57:10,V,,3773620.0,19.444444444444443,36021.609,10:00:22,0.0
21/07/2021,09:57:00,09:57:10,V,,3773730.0,20.833333333333332,36027.071,10:00:27,0.0
21/07/2021,09:57:00,09:57:10,V,,3773850.0,22.22222222222222,36032.645,10:00:33,0.0
21/07/2021,09:57:00,09:57:10,V,,3773970.0,23.61111111111111,36037.882,10:00:38,0.0
21/07/2021,09:57:00,09:57:10,V,36044.0,3774100.0,24.444444444444443,36044.0,10:00:44,0.0
21/07/2021,09:57:00,09:57:10,V,,3774140.0,25.0,36045.259,10:00:45,0.0
21/07/2021,09:57:00,09:57:10,V,,3774340.0,26.38888888888889,36053.043,10:00:53,0.0
21/07/2021,09:57:00,09:57:10,V,,3774510.0,27.77777777777778,36059.32,10:00:59,0.0
21/07/2021,09:57:00,09:57:10,V,,3774690.0,29.166666666666664,36065.642,10:01:06,0.0
21/07/2021,09:57:00,09:57:10,V,36068.0,3774770.0,29.72222222222222,36068.0,10:01:08,0.0
21/07/2021,09:57:00,09:57:10,V,,3774920.0,30.555555555555554,36073.094,10:01:13,0.0
21/07/2021,09:57:00,09:57:10,V,36090.0,3775440.0,31.38888888888889,36090.0,10:01:30,0.0
21/07/2021,09:57:00,09:57:10,V,36092.0,3775480.0,31.38888888888889,36092.0,10:01:32,0.0
21/07/2021,09:57:00,09:57:10,V,36108.0,3776010.0,30.833333333333332,36108.0,10:01:48,0.0
21/07/2021,09:57:00,09:57:10,V,36110.0,3776070.0,30.833333333333332,36110.0,10:01:50,0.0
21/07/2021,09:57:00,09:57:10,V,36112.0,3776150.0,30.833333333333332,36112.0,10:01:52,0.0
21/07/2021,09:57:00,09:57:10,V,,3776450.0,31.944444444444443,36121.719,10:02:02,0.0
21/07/2021,09:57:00,09:57:10,V,,3776700.0,33.333333333333336,36129.379,10:02:09,0.0
21/07/2021,09:57:00,09:57:10,V,,3776910.0,34.72222222222222,36135.55,10:02:16,0.0
21/07/2021,09:57:00,09:57:10,V,36136.0,3776920.0,34.72222222222222,36136.0,10:02:16,0.0
21/07/2021,09:57:00,09:57:10,V,,3777120.0,36.11111111111111,36141.976,10:02:22,0.0
21/07/2021,09:57:00,09:57:10,V,36150.0,3777400.0,36.666666666666664,36150.0,10:02:30,0.0
21/07/2021,09:57:00,09:57:10,V,36152.0,3777440.0,36.666666666666664,36152.0,10:02:32,0.0
21/07/2021,09:57:00,09:57:10,V,36156.0,3777600.0,36.666666666666664,36156.0,10:02:36,0.0
21/07/2021,09:57:00,09:57:10,V,36170.0,3778110.0,36.388888888888886,36170.0,10:02:50,0.0
21/07/2021,09:57:00,09:57:10,V,36172.0,3778170.0,36.388888888888886,36172.0,10:02:52,0.0
21/07/2021,09:57:00,09:57:10,V,36176.0,3778330.0,36.388888888888886,36176.0,10:02:56,0.0
21/07/2021,09:57:00,09:57:10,V,36184.0,3778650.0,36.94444444444444,36184.0,10:03:04,0.0
21/07/2021,09:57:00,09:57:10,V,36190.0,3778820.0,37.22222222222222,36190.0,10:03:10,0.0
21/07/2021,09:57:00,09:57:10,V,36194.0,3779030.0,36.94444444444444,36194.0,10:03:14,0.0
21/07/2021,09:57:00,09:57:10,V,36196.0,3779050.0,36.94444444444444,36196.0,10:03:16,0.0
21/07/2021,09:57:00,09:57:10,V,36204.0,3779390.0,36.388888888888886,36204.0,10:03:24,0.0
21/07/2021,09:57:00,09:57:10,V,36206.0,3779450.0,36.11111111111111,36206.0,10:03:26,0.0
21/07/2021,09:57:00,09:57:10,V,36214.0,3779780.0,36.388888888888886,36214.0,10:03:34,0.0
21/07/2021,09:57:00,09:57:10,V,36216.0,3779790.0,36.388888888888886,36216.0,10:03:36,0.0
21/07/2021,09:57:00,09:57:10,V,36232.0,3780420.0,36.388888888888886,36232.0,10:03:52,0.0
21/07/2021,09:57:00,09:57:10,V,36254.0,3781180.0,36.94444444444444,36254.0,10:04:14,0.0
21/07/2021,09:57:00,09:57:10,V,,3782800.0,37.5,36297.628,10:04:58,0.0
21/07/2021,09:57:00,09:57:10,V,36298.0,3782810.0,37.5,36298.0,10:04:58,0.0
21/07/2021,09:57:00,09:57:10,V,,3783130.0,38.888888888888886,36306.799,10:05:07,0.0
21/07/2021,09:57:00,09:57:10,V,,3783480.0,40.27777777777778,36315.641,10:05:16,0.0
21/07/2021,09:57:00,09:57:10,V,,3783920.0,41.666666666666664,36326.38,10:05:26,0.0
21/07/2021,09:57:00,09:57:10,V,36334.0,3784220.0,41.666666666666664,36334.0,10:05:34,0.0
21/07/2021,09:57:00,09:57:10,V,36336.0,3784320.0,41.11111111111111,36336.0,10:05:36,0.0
21/07/2021,09:57:00,09:57:10,V,36338.0,3784390.0,41.11111111111111,36338.0,10:05:38,0.0
21/07/2021,09:57:00,09:57:10,V,,3785190.0,43.05555555555556,36357.045,10:05:57,0.0
21/07/2021,09:57:00,09:57:10,V,,3785900.0,41.666666666666664,36373.805,10:06:14,0.0
21/07/2021,09:57:00,09:57:10,V,36376.0,3785990.0,41.666666666666664,36376.0,10:06:16,0.0
21/07/2021,09:57:00,09:57:10,V,36378.0,3786100.0,41.11111111111111,36378.0,10:06:18,0.0
21/07/2021,09:57:00,09:57:10,V,,3786260.0,40.27777777777778,36381.656,10:06:22,0.0
21/07/2021,09:57:00,09:57:10,V,,3786440.0,38.888888888888886,36386.204,10:06:26,0.0
21/07/2021,09:57:00,09:57:10,V,36388.0,3786520.0,38.333333333333336,36388.0,10:06:28,0.0
21/07/2021,09:57:00,09:57:10,V,,3786590.0,37.5,36390.522,10:06:31,0.0
21/07/2021,09:57:00,09:57:10,V,36392.0,3786620.0,37.22222222222222,36392.0,10:06:32,0.0
21/07/2021,09:57:00,09:57:10,V,36394.0,3786740.0,36.11111111111111,36394.0,10:06:34,0.0
21/07/2021,09:57:00,09:57:10,V,36396.0,3786810.0,35.27777777777778,36396.0,10:06:36,0.0
21/07/2021,09:57:00,09:57:10,V,36398.0,3786840.0,35.0,36398.0,10:06:38,0.0
21/07/2021,09:57:00,09:57:10,V,,3786860.0,34.72222222222222,36398.351,10:06:38,0.0
21/07/2021,09:57:00,09:57:10,V,36418.0,3787550.0,34.72222222222222,36418.0,10:06:58,0.0
21/07/2021,09:57:00,09:57:10,V,,3787750.0,36.11111111111111,36423.422,10:07:03,0.0
21/07/2021,09:57:00,09:57:10,V,,3787910.0,37.5,36427.769,10:07:08,0.0
21/07/2021,09:57:00,09:57:10,V,,3788050.0,38.888888888888886,36431.435,10:07:11,0.0
21/07/2021,09:57:00,09:57:10,V,,3788200.0,40.27777777777778,36435.224,10:07:15,0.0
21/07/2021,09:57:00,09:57:10,V,,3788370.0,41.666666666666664,36439.373,10:07:19,0.0
21/07/2021,09:57:00,09:57:10,V,,3788710.0,43.05555555555556,36447.399,10:07:27,0.0
21/07/2021,09:57:00,09:57:10,V,36456.0,3789090.0,43.05555555555556,36456.0,10:07:36,0.0
21/07/2021,09:57:00,09:57:10,V,36472.0,3789740.0,43.05555555555556,36472.0,10:07:52,0.0
21/07/2021,09:57:00,09:57:10,V,36500.0,3790940.0,43.05555555555556,36500.0,10:08:20,0.0
21/07/2021,09:57:00,09:57:10,V,36514.0,3791590.0,43.888888888888886,36514.0,10:08:34,0.0
21/07/2021,09:57:00,09:57:10,V,36516.0,3791700.0,43.888888888888886,36516.0,10:08:36,0.0
21/07/2021,09:57:00,09:57:10,V,36542.0,3792800.0,43.61111111111111,36542.0,10:09:02,0.0
21/07/2021,09:57:00,09:57:10,V,36544.0,3792850.0,43.333333333333336,36544.0,10:09:04,0.0
21/07/2021,09:57:00,09:57:10,V,36546.0,3792990.0,43.05555555555556,36546.0,10:09:06,0.0
21/07/2021,09:57:00,09:57:10,V,36548.0,3793070.0,43.05555555555556,36548.0,10:09:08,0.0
21/07/2021,09:57:00,09:57:10,V,36552.0,3793190.0,42.77777777777778,36552.0,10:09:12,0.0
21/07/2021,09:57:00,09:57:10,V,,3793550.0,44.44444444444444,36559.898,10:09:20,0.0
21/07/2021,09:57:00,09:57:10,V,36562.0,3793660.0,45.0,36562.0,10:09:22,0.0
21/07/2021,09:57:00,09:57:10,V,,3793760.0,45.833333333333336,36564.576,10:09:25,0.0
21/07/2021,09:57:00,09:57:10,V,,3793980.0,47.22222222222222,36569.305,10:09:29,0.0
21/07/2021,09:57:00,09:57:10,V,,3794210.0,48.61111111111111,36574.105,10:09:34,0.0
21/07/2021,09:57:00,09:57:10,V,,3794450.0,50.0,36578.972,10:09:39,0.0
21/07/2021,09:57:00,09:57:10,V,,3794720.0,51.388888888888886,36584.298,10:09:44,0.0
21/07/2021,09:57:00,09:57:10,V,,3795020.0,52.77777777777778,36590.058,10:09:50,0.0
21/07/2021,09:57:00,09:57:10,V,,3795300.0,54.166666666666664,36595.295,10:09:55,0.0
21/07/2021,09:57:00,09:57:10,V,,3795540.0,55.55555555555556,36599.669,10:10:00,0.0
21/07/2021,09:57:00,09:57:10,V,,3795740.0,56.94444444444444,36603.225,10:10:03,0.0
21/07/2021,09:57:00,09:57:10,V,,3795940.0,58.33333333333333,36606.695,10:10:07,0.0
21/07/2021,09:57:00,09:57:10,V,,3796150.0,59.72222222222222,36610.252,10:10:10,0.0
21/07/2021,09:57:00,09:57:10,V,,3796460.0,61.11111111111111,36615.383,10:10:15,0.0
21/07/2021,09:57:00,09:57:10,V,,3796870.0,62.5,36622.017,10:10:22,0.0
21/07/2021,09:57:00,09:57:10,V,,3797320.0,63.888888888888886,36629.138,10:10:29,0.0
21/07/2021,09:57:00,09:57:10,V,,3797790.0,65.27777777777777,36636.415,10:10:36,0.0
