"participants","age","sex","laterality","order","orientation","knwYesNo_est","knw_est","est","est_conf","est_meta","RE_est","ER_est","obj_est","ep_est","pot","homogeneity_pot","sadness","happiness","boredom","est_strat","format","type","outliers","theo_dur"
1,NA,NA,NA,"1","Backward","Yes",135,70,"3","2",1.45479736750952,0.454797367509524,48.1166666666667,"cst","2","3","1","4","1","2","numeric","dur",NA,124
3,NA,NA,NA,"4","Forward","No",115,10,"3",NA,2.09059233449475,1.09059233449475,4.78333333333339,"acc","3","3","1",NA,"1","6","numeric","dur",NA,116
4,NA,NA,NA,"6","Backward","Yes",125,16,"3",NA,2.86567164179106,1.86567164179106,5.5833333333333,"acc","2","3","1","3","2","4","numeric","dur",NA,116
5,NA,NA,NA,"5",NA,"Yes",120,10,"3","2",0.857142857142847,-0.142857142857153,11.6666666666668,"acc","4","1","1","3","1","4","numeric","dur",NA,116
6,NA,NA,NA,"3",NA,"No",118,120,"3","3",1.14777618364419,0.147776183644189,104.55,"dec","4","3","1","4","1","6","numeric","dur",NA,116
7,NA,NA,NA,"1","Forward","Yes",130,50,"3",NA,0.90171325518485,-0.0982867448151504,55.4500000000001,"cst","3","1","1","3","1","2","numeric","dur",NA,116
8,NA,NA,NA,"2","Forward","Yes",116,15,"3","2",0.765957446808508,-0.234042553191492,19.5833333333334,"cst","2","3","2","3","3","4","numeric","dur",NA,116
9,NA,NA,NA,"4","Forward","Yes",125,45,"3","3",1.4308426073132,0.430842607313196,31.45,"cst","3","2","1","4","1","2","numeric","dur",NA,116
10,NA,NA,NA,"6","Forward","Yes",120,60,"4","2",1.06477373558119,0.0647737355811871,56.3500000000001,"cst","3","1","1","3","1","4","numeric","dur",NA,116
11,NA,NA,NA,"1","Backward","Yes",125,36,"2","3",1.02906145783706,0.0290614578370634,34.9833333333334,"cst","2","2","2","2","2","2","numeric","dur",NA,116
12,NA,NA,NA,"3","Forward","Yes",130,40,"3","3",0.957319505384921,-0.0426804946150794,41.7833333333334,"cst",NA,NA,NA,NA,NA,"6","numeric","dur",NA,116
13,NA,NA,NA,"2","Forward","Yes",120,45,"3","2",1.05427567356501,0.0542756735650144,42.6833333333333,"cst","2","2","2","3","2","2","numeric","dur",NA,116
14,NA,NA,NA,"4","Backward","Yes",120,65,"3","3",1.57830837717523,0.57830837717523,41.1833333333334,"cst","3","3","1","2","1","4","numeric","dur",NA,116
15,NA,NA,NA,"6","Backward","Yes",120,80,"2","3",1.2112036336109,0.211203633610901,66.05,"cst","2","2","2","2","1","4","numeric","dur",NA,116
17,NA,NA,NA,"3","Forward","Yes",130,10,"3","3",1.72910662824208,0.729106628242076,5.78333333333333,"acc","4","1","1","2","2","2","numeric","dur",NA,124
18,NA,NA,NA,"1","Backward","Yes",150,30,"3","2",0.560573030208657,-0.439426969791343,53.5166666666667,"cst","3","3","1","3","1","6","numeric","dur",NA,116
19,NA,NA,NA,"1","Forward","Yes",115,65,"3","3",1.21457489878542,0.214574898785424,53.5166666666667,"cst","3","3","2","3","2","6","numeric","dur",NA,116
