"","participants","age","sex","laterality","order","orientation","knwYesNo_est","knw_est","est","est_conf","est_meta","RE_est","ER_est","obj_est","ep_est","pot","homogeneity_pot","sadness","happiness","boredom","est_strat","format","type","outliers","theo_dur","ME","RME","ERM"
"1",1,NA,NA,NA,1,"Backward","Yes",135,54.375,3,2,1.13006581226186,0.130065812261863,48.1166666666667,"cst",2,3,1,4,1,2,"graphic","dur",NA,124,62.1875,1.29243158988569,0.292431589885694
"2",3,NA,NA,NA,4,"Forward","No",115,6.38888888888889,3,NA,1.33565621370498,0.335656213704978,4.78333333333339,"acc",3,3,1,NA,1,6,"graphic","dur",NA,116,8.19444444444444,1.71312427409987,0.713124274099864
"3",4,NA,NA,NA,6,"Backward","Yes",125,7.29166666666667,3,NA,1.30597014925374,0.305970149253739,5.5833333333333,"acc",2,3,1,3,2,4,"graphic","dur",NA,116,11.6458333333333,2.0858208955224,1.0858208955224
"4",5,NA,NA,NA,5,NA,"Yes",120,15,3,2,1.28571428571427,0.285714285714271,11.6666666666668,"acc",4,1,1,3,1,4,"graphic","dur",NA,116,12.5,1.07142857142856,0.071428571428559
"5",6,NA,NA,NA,3,NA,"No",118,110.461111111111,3,3,1.05653860460173,0.0565386046017323,104.55,"dec",4,3,1,4,1,6,"graphic","dur",NA,116,115.230555555555,1.10215739412296,0.102157394122961
"6",7,NA,NA,NA,1,"Forward","Yes",130,65,3,NA,1.1722272317403,0.172227231740304,55.4500000000001,"cst",3,1,1,3,1,2,"graphic","dur",NA,116,57.5,1.03697024346257,0.0369702434625768
"7",8,NA,NA,NA,2,"Forward","Yes",116,9.98888888888889,3,2,0.510070921985814,-0.489929078014186,19.5833333333334,"cst",2,3,2,3,3,4,"graphic","dur",NA,116,12.4944444444444,0.638014184397161,-0.361985815602839
"8",9,NA,NA,NA,4,"Forward","Yes",125,50,3,3,1.58982511923688,0.589825119236884,31.45,"cst",3,2,1,4,1,2,"graphic","dur",NA,116,47.5,1.51033386327504,0.51033386327504
"9",10,NA,NA,NA,6,"Forward","Yes",120,60,4,2,1.06477373558119,0.0647737355811871,56.3500000000001,"cst",3,1,1,3,1,4,"graphic","dur",NA,116,60,1.06477373558119,0.0647737355811871
"10",11,NA,NA,NA,1,"Backward","Yes",125,36.8055555555556,2,3,1.05208829601397,0.052088296013973,34.9833333333334,"cst",2,2,2,2,2,2,"graphic","dur",NA,116,36.4027777777778,1.04057487692551,0.0405748769255182
"11",12,NA,NA,NA,3,"Forward","Yes",130,40.8055555555556,3,3,0.976598856535034,-0.0234011434649663,41.7833333333334,"cst",NA,NA,NA,NA,NA,6,"graphic","dur",NA,116,40.4027777777778,0.966959180959978,-0.0330408190400229
"12",13,NA,NA,NA,2,"Forward","Yes",120,50.3333333333333,3,2,1.17922686450605,0.179226864506053,42.6833333333333,"cst",2,2,2,3,2,2,"graphic","dur",NA,116,47.6666666666667,1.11675126903553,0.116751269035534
"13",14,NA,NA,NA,4,"Backward","Yes",120,66.3333333333333,3,3,1.61068393363011,0.610683933630107,41.1833333333334,"cst",3,3,1,2,1,4,"graphic","dur",NA,116,65.6666666666667,1.59449615540267,0.594496155402668
"14",15,NA,NA,NA,6,"Backward","Yes",120,81,2,3,1.22634367903104,0.226343679031037,66.05,"cst",2,2,2,2,1,4,"graphic","dur",NA,116,80.5,1.21877365632097,0.218773656320969
"15",17,NA,NA,NA,3,"Forward","Yes",130,10.1111111111111,3,3,1.74831892411143,0.748318924111432,5.78333333333333,"acc",4,1,1,2,2,2,"graphic","dur",NA,124,10.0555555555556,1.73871277617675,0.738712776176754
"17",19,NA,NA,NA,1,"Forward","Yes",115,58.1388888888889,3,3,1.0863697705803,0.0863697705802961,53.5166666666667,"cst",3,3,2,3,2,6,"graphic","dur",NA,116,61.5694444444444,1.15047233468286,0.15047233468286
"18",20,NA,NA,NA,3,"Backward","Yes",116,80.2333333333333,3,2,1.09037372593431,0.0903737259343139,73.5833333333334,"cst",3,2,1,3,1,2,"graphic","dur",NA,116,77.6166666666666,1.05481313703284,0.0548131370328417
"19",21,NA,"Man",NA,3,"Forward","No",120,110.333333333333,3,3,1.2086908891729,0.208690889172904,91.2833333333334,"cst",3,2,1,2,1,2,"graphic","dur",NA,124,107.666666666667,1.1794778163228,0.179477816322803
