"Participants","Date","Departure_hour","Departure_min","Order","Age","Sex","Laterality","Direction","Hour_1","min_1","Knowledge_distance","Distance","Knowledge_time","Time_hour","Time_min","Max_speed","Hour_2","min_2","Inst_Speed_graphic","Inst_Speed_num","Inst_Speed_conf","Av_speed_graphic","Av_speed_num","Av_speed_confidence","Hour_3","min_3","Time_graphic","Time_hour_num","Time_min_num","Time_conf","Over_or_Underestimation","Hour_4","min_4","Dist_graph","Dist_num","Dist_conf","Hour_5","min_5","Speed_of_time","Homogeneity","Sadness","Hapiness","Boredom","Dist_Strat","Time_Strat","Speed_Strat","creusot","X","departure","order","direction","laterality","rep_knw","knowledge_distance","knwYesNo_dist","knw_dist","knowledge_time","knwYesNo_dur","knw_dur","knwYesNo_spd","knw_spd","rep_spd","spd_inst_allo","spd_inst_ego","spd_inst_conf","spd_inst_meta","spd_mean_allo","spd_mean_ego","spd_mean_conf","spd_mean_meta","rep_dur","dur_allo","dur_ego","dur_conf","dur_meta","rep_dist","dist_allo","dist_ego","dist_conf","dist_meta","rep_debrief","pot","homogeneity_pot","sadness","happiness","boredom","dist_strat","dur_strat","spd_strat","participants","age","sex","obj_dur","obj_dist","obj_spd_inst","obj_spd_mean","away_dur","away_dist","away_spd_inst","away_spd_mean","ep_dur","ep_dist","ep_spd","paris_lyon","travel","tot_dur","tot_dist","tot_speed","spd_inst_tot","spd_mean_tot","dur_tot","dist_tot"
1,"14/04/2021",13,52,1,NA,NA,NA,"2",14,38,0,600,1,2,15,295,14,39,90,120,3,129,160,2,14,40,145,1,10,3,2,14,41,3,250,2,14,42,2,3,1,4,1,1,2,2,0,"",13.8666666666667,1,"Backward",NA,14.6333333333333,"No","No",600,"Yes","Yes",135,NA,295,14.65,147.5,120,3,NA,211.416666666667,160,2,NA,14.6666666666667,54.375,70,3,2,14.6833333333333,290.322580645161,250,2,NA,14.7,2,3,1,4,1,1,2,2,1,NA,NA,48.1166666666667,155.74,299,156.105747126437,2.02504679691629e-12,0.200000000000031,0.100000000001934,0.100000000001934,"cst","cst","cst","LP","./6617_2021-04-14_full_journey.csv",130.766666666667,429.12,320,160,229.333333333333,52.6699074074075,207.638709677419
2,"14/04/2021",13,52,2,NA,NA,NA,"2",14,49,1,600,1,7,30,250,14,50,NA,250,3,NA,200,3,14,52,54,1,0,3,3,14,51,1.2,150,2,14,53,3,3,1,3,2,1,1,1,0,"",13.8666666666667,2,"Backward",NA,14.8166666666667,"Yes","Yes",600,"Yes","Yes",450,NA,250,14.8333333333333,NA,250,3,NA,NA,200,3,NA,14.8666666666667,67.5,60,3,3,14.85,116.129032258065,150,2,NA,14.8833333333333,3,3,1,3,2,1,1,1,2,NA,NA,60.1166666666667,205.02,295,172.684,1.91846538655227e-12,0.166666666667972,2.02504679691629e-12,2.02504679691629e-12,"cst","cst","cst","LP","./6617_2021-04-14_full_journey.csv",130.766666666667,429.12,320,NA,NA,19.615,83.0554838709677
3,"14/04/2021",17,14,4,NA,NA,NA,"1",17,18,0,500,0,1,55,315,17,20,114,260,3,NA,250,3,17,19,20,0,10,3,NA,17,21,0.8,100,3,17,22,3,3,1,NA,1,NA,NA,NA,0,"",17.2333333333333,4,"Forward",NA,17.3,"No","No",500,"No","No",115,NA,315,17.3333333333333,199.5,260,3,NA,NA,250,3,NA,17.3166666666667,6.38888888888889,10,3,NA,17.35,64.5161290322581,100,3,NA,17.3666666666667,3,3,1,NA,1,NA,NA,NA,3,NA,NA,4.78333333333339,7.6,87,50.3260869565217,0.200000000000031,0.0333333333360031,1.91846538655227e-12,1.91846538655227e-12,"acc","acc","acc","LP","./6626_2021-04-14_full_journey.csv",130.766666666667,429.12,320,202.666666666667,NA,7.26481481481483,55.3703225806452
4,"14/04/2021",17,14,6,NA,NA,NA,"2",17,18,1,490,1,2,5,365,17,22,50,75,3,33,30,3,17,20,21,0,16,3,NA,17,21,0.4,30,3,17,23,2,3,1,3,2,2,4,2,0,"",17.2333333333333,6,"Backward",NA,17.3,"Yes","Yes",490,"Yes","Yes",125,NA,365,17.3666666666667,101.388888888889,75,3,NA,66.9166666666667,30,3,NA,17.3333333333333,7.29166666666667,16,3,NA,17.35,31.6129032258065,30,3,NA,17.3833333333333,2,3,1,3,2,2,4,2,4,NA,NA,5.5833333333333,7.6,116,60.8245614035088,1.91846538655227e-12,0.0333333333360031,1.91846538655227e-12,1.91846538655227e-12,"acc","acc","acc","LP","./6626_2021-04-14_full_journey.csv",130.766666666667,429.12,320,88.8888888888889,58.6666666666667,7.62805555555557,27.6851612903226
5,"14/04/2021",17,14,5,NA,NA,NA,"NaN",17,24,0,500,1,2,0,320,17,25,128,290,2,97,190,2,17,26,45,0,10,3,2,17,25,0.6,30,2,17,27,4,1,1,3,1,2,4,2,0,"",17.2333333333333,5,NA,NA,17.4,"No","No",500,"Yes","Yes",120,NA,320,17.4166666666667,227.555555555556,290,2,NA,172.444444444444,190,2,NA,17.4333333333333,15,10,3,2,17.4166666666667,48.3870967741935,30,2,NA,17.45,4,1,1,3,1,2,4,2,5,NA,NA,11.6666666666668,16.43,220,95.8958333333333,0.0833333333319075,0.116666666668124,0.116666666668124,0.116666666668124,"acc","acc","acc","LP","./6626_2021-04-14_full_journey.csv",130.766666666667,429.12,320,227.555555555556,172.444444444444,16.3458333333334,41.5277419354839
6,"14/04/2021",17,14,3,NA,NA,NA,"NaN",18,57,0,500,0,1,58,200,19,0,NA,120,2,NA,200,2,18,59,337,2,0,3,3,18,58,5.7,460,3,19,1,4,3,1,4,1,NA,NA,NA,0,"",17.2333333333333,3,NA,NA,18.95,"No","No",500,"No","No",118,NA,200,19,NA,120,2,NA,NA,200,2,NA,18.9833333333333,110.461111111111,120,3,3,18.9666666666667,459.677419354839,460,3,NA,19.0166666666667,4,3,1,4,1,NA,NA,NA,6,NA,NA,104.55,427.75,21,228.021390374332,0.033333333331953,2.1316282072803e-12,0.0333333333360031,0.0333333333360031,"dec","dec","dec","LP","./6626_2021-04-14_full_journey.csv",130.766666666667,429.12,320,NA,NA,122.41212962963,394.513548387097
7,"14/04/2021",17,14,1,NA,NA,NA,"1",18,6,0,490,1,2,10,200,18,6,NA,130,1,NA,130,1,18,10,180,0,50,3,NA,18,12,2.8,200,2,18,53,3,1,1,3,1,2,2,2,0,"",17.2333333333333,1,"Forward",NA,18.1,"No","No",490,"Yes","Yes",130,NA,200,18.1,NA,130,1,NA,NA,130,1,NA,18.1666666666667,65,50,3,NA,18.2,221.290322580645,200,2,NA,18.8833333333333,3,1,1,3,1,2,2,2,7,NA,NA,55.4500000000001,231.51,268,221.165745856354,0.133333333336125,0.100000000002041,0.199999999998113,0.199999999998113,"cst","cst","cst","LP","./6626_2021-04-14_full_journey.csv",130.766666666667,429.12,320,NA,NA,65.3833333333335,193.796129032258
8,"14/04/2021",17,14,2,NA,NA,NA,"1",17,30,0,400,1,1,56,300,17,32,NA,200,3,NA,100,3,17,34,31,0,15,3,2,17,33,NA,30,3,18,56,2,3,2,3,3,5,4,5,0,"",17.2333333333333,2,"Forward",NA,17.5,"No","No",400,"Yes","Yes",116,NA,300,17.5333333333333,NA,200,3,NA,NA,100,3,NA,17.5666666666667,9.98888888888889,15,3,2,17.55,NA,30,3,NA,18.9333333333333,2,3,2,3,3,5,4,5,8,NA,NA,19.5833333333334,54.83,285,141.046153846154,1.91846538655227e-12,0.0666666666660376,2.1316282072803e-12,2.1316282072803e-12,"cst","cst","cst","LP","./6626_2021-04-14_full_journey.csv",130.766666666667,429.12,320,NA,NA,11.260462962963,NA
9,"14/04/2021",17,14,4,NA,NA,NA,"1",17,44,0,400,1,2,5,200,17,48,146,200,3,NA,200,2,17,46,144,0,45,3,3,17,49,2.8,200,2,18,24,3,2,1,4,1,1,2,2,0,"",17.2333333333333,4,"Forward",NA,17.7333333333333,"No","No",400,"Yes","Yes",125,NA,200,17.8,162.222222222222,200,3,NA,NA,200,2,NA,17.7666666666667,50,45,3,3,17.8166666666667,180.645161290323,200,2,NA,18.4,3,2,1,4,1,1,2,2,9,NA,NA,31.45,124.4,240,198.060483870968,0.133333333335912,0.033333333331953,0,0,"cst","cst","cst","LP","./6626_2021-04-14_full_journey.csv",130.766666666667,429.12,320,259.555555555556,NA,52.3066666666668,193.796129032258
10,"14/04/2021",17,14,6,NA,NA,NA,"1",18,9,0,1000,1,2,0,300,18,13,117,300,2,92,250,2,18,11,180,1,0,4,2,18,12,2.7,500,2,18,58,3,1,1,3,1,1,4,5,0,"",17.2333333333333,6,"Forward",NA,18.15,"No","No",1000,"Yes","Yes",120,NA,300,18.2166666666667,195,300,2,NA,153.333333333333,250,2,NA,18.1833333333333,60,60,4,2,18.2,435.483870967742,500,2,NA,18.9666666666667,3,1,1,3,1,1,4,5,10,NA,NA,56.3500000000001,231.51,300,226.14358974359,0.233333333336034,0.100000000002041,0.316666666664105,0.316666666664105,"cst","cst","cst","LP","./6626_2021-04-14_full_journey.csv",130.766666666667,429.12,320,208,163.555555555556,65.3833333333335,186.874838709677
